npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 5 ms
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/araby-ai.png
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/awqaf-uae-ing.png
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/soulsync.png
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/moodees.png
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/martini.png
 HTTP  3/2/2026 3:33:14 PM ::1 GET /images/projects/findley.png
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 10 ms
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 10 ms
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 16 ms
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 18 ms
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 23 ms
 HTTP  3/2/2026 3:33:14 PM ::1 Returned 200 in 29 ms
 HTTP  3/2/2026 3:33:15 PM ::1 HEAD /blogs
 HTTP  3/2/2026 3:33:15 PM ::1 HEAD /
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 304 in 2 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 3 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /__next._tree.txt?_rsc=1r34m
 HTTP  3/2/2026 3:33:15 PM ::1 GET /blogs/__next._tree.txt?_rsc=1r34m
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 4 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 2 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /__next._head.txt?_rsc=1pn8p
 HTTP  3/2/2026 3:33:15 PM ::1 GET /__next._index.txt?_rsc=nn07o
 HTTP  3/2/2026 3:33:15 PM ::1 GET /__next.__PAGE__.txt?_rsc=ivliq
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 4 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 3 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /blogs/__next._head.txt?_rsc=1pn8p
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 4 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 6 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /blogs/__next.blogs.txt?_rsc=1yc2h
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 3 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /blogs/__next.blogs.__PAGE__.txt?_rsc=qn0i0
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 2 ms
 HTTP  3/2/2026 3:33:15 PM ::1 GET /_next/static/chunks/31b827ad4522eaf1.js
 HTTP  3/2/2026 3:33:15 PM ::1 GET /_next/static/chunks/8834a62f0878188b.js
 HTTP  3/2/2026 3:33:15 PM ::1 GET /_next/static/chunks/2306fdd0643a56cd.js
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 2 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 3 ms
 HTTP  3/2/2026 3:33:15 PM ::1 Returned 200 in 4 ms
